u,v,length
290327355,1623825498,17.282
290327359,1623825524,32.835
290327359,1623825503,32.047
290327418,1623825524,41.368
290327418,1623825550,33.096
290584861,297165912,65.27499999999999
290584861,1618530633,22.518
290880231,1889335891,389.903
290880231,290880243,31.277
290880243,290880248,379.199
290880248,1059197596,33.565
290880248,1736477199,30.655
290881372,1683191704,375.562
290881372,5102159989,613.6179999999998
290881372,1683191742,75.775
290881378,283548803,551.6019999999999
290881379,283548803,77.67
290881379,5131731420,21.302
291156513,5025348319,113.708
291156587,4607173046,144.15999999999997
291157028,1683192172,52.411
291157028,256015760,151.20399999999998
291157377,1683191968,85.60600000000001
291157377,565447394,180.19799999999998
291157594,256363466,23.033
291157594,286633612,151.356
291157621,291157594,23.806
291157814,291157816,49.676
291157816,274242671,47.806
291157856,283548828,30.652
291157876,7602250512,271.027
291158025,565446893,40.918
291158025,1293265948,91.066
291158026,291158025,30.801000000000002
291158026,565446893,47.523
291158321,564643046,88.02900000000001
291158350,4844564516,69.972
291190518,487079355,13.35
291190518,3787678459,168.125
291190519,1654579532,15.228
291190519,316734757,127.857
291190519,291190518,103.523
291190526,1654580517,13.561
291190526,291190519,486.8160000000001
291190526,316734757,952.6630000000004
291496675,256363218,45.546
291496675,291496677,114.555
291496677,291496675,114.555
291549760,291550111,49.55
291549761,291549760,68.14399999999999
291549761,525461392,110.235
291549863,1613294384,134.12
291550111,1680952438,52.117
292204030,597663103,103.733
292204101,292204110,60.221
292204110,982729992,44.721
292204110,1618530608,38.303
292204233,292204101,85.03
292204233,1012752117,52.94
292204736,7312775994,11.527999999999999
292204793,1012752115,30.5
292204793,1012752029,27.268
292205330,5470724239,223.151
292206237,292206271,52.838
292206271,1618530636,173.878
292206271,292206273,86.46199999999999
292206273,1618530636,44.908
292206273,292206276,105.23399999999998
292206276,1618530608,38.621
292206276,292206280,276.08000000000004
292206280,257171479,64.986
292206280,292206237,76.552
293111736,1618530659,49.515
293111736,243846384,136.584
293111738,988059878,29.345000000000002
293111738,508051651,52.539
293111738,1013426162,205.84799999999998
293111739,293111738,95.03099999999999
293112651,1615603719,191.552
293112651,1615603836,66.145
293113206,525399960,16.845
293113206,1447887997,195.637
293113206,3296357756,5.479
293113344,293114164,114.11199999999998
293113344,293114098,92.904
293113344,256018303,445.3059999999999
293113776,664350619,10.749
293113776,4776965339,27.46
293113915,664469427,43.814
293113915,496055563,90.773
293114098,8671765755,3.717
293114098,293114099,27.534
293114098,293113344,92.904
293114099,293114100,55.032
293114099,293114098,27.534
293114099,1680951340,311.9629999999999
293114100,293114099,55.032
293114164,293113344,114.112
293114164,293114240,76.769
293114240,293114242,107.32000000000001
293114242,293114549,122.824
293114242,3180388932,198.566
293114327,4781958922,13.164
293114327,253331761,380.754
293114330,293114345,45.09
293114345,293114240,31.520000000000003
293114345,293114164,77.452
293114396,293114652,37.230999999999995
293114396,293114882,92.743
293114549,293127629,25.829
293114551,293114327,130.026
293114630,293114551,81.642
293114630,293114650,36.907
293114630,293114396,137.499
293114632,293114330,66.561
293114632,293114549,138.68599999999998
293114650,293114549,37.228
293114650,293114652,137.78
293114652,293114632,39.033
293114882,253331807,81.627
293114882,289341787,81.604
293114922,293114330,91.94000000000001
293127627,253311582,373.6429999999999
293127628,293127629,69.11
293127629,293127628,69.11
293127629,3180388932,47.277
293127758,293127760,59.68
293127760,293127758,59.68
293127760,253311582,149.71500000000003
293127760,420030717,68.876
293128672,7828904273,356.26800000000003
293128672,4862206122,189.15300000000002
293128672,253311601,266.645
293128731,2613523868,142.375
293128731,2612242134,298.465
293128735,2613523868,51.201
293128735,293128731,144.534
293128736,293128735,60.052
293128736,253311601,155.339
293129408,282848454,180.524
293129452,566530269,112.68299999999999
293129452,6335783955,39.836
293129472,2612242130,42.503
293129472,6335783955,56.187000000000005
293129609,293129765,103.957
293129609,4862206122,81.612
293129677,293129765,129.64
293129677,293129609,74.798
293129765,293128736,72.002
293398223,1177097529,58.392
293398223,271053039,303.202
293571710,1680952442,71.69999999999999
293571710,525461533,61.852000000000004
293571711,4862273094,10.278
293571711,291549760,108.76400000000001
293572314,293572315,54.202
293572314,494173691,61.269999999999996
293572315,1003282403,59.608
293572317,271052939,58.474000000000004
293572317,984409427,13.788
293572319,293572317,37.78
293572319,293572315,61.292
293572321,293572323,62.173
293572321,293572317,130.824
293572323,293572319,63.597
293572467,1623825584,51.965999999999994
293572467,5363530278,190.84699999999998
293572584,293572598,81.84800000000001
293572584,293572592,353.35300000000007
293572584,8974690332,56.143
293572592,293572598,174.261
293572592,1080461106,289.7380000000001
293572592,293572584,353.353
293572598,293572641,153.90300000000002
293572598,8974690327,21.544999999999998
293572641,293572598,153.903
293572653,293572654,81.069
293572654,293572653,81.069
293572654,1080460783,28.651
293572654,1623825465,329.949
293572771,1080460901,954.3380000000003
293572771,294056151,736.0060000000001
293572771,5008490851,364.42999999999995
293665480,293665487,271.933
293665480,945734868,70.315
293665480,1049672892,120.337
293665487,293665480,271.933
293665672,474176083,233.483
293665672,474174230,181.627
293665672,474172946,215.07700000000003
293667261,253311688,81.415
293667261,474172118,1167.9620000000004
293668304,286429566,63.107
293668304,8187555866,49.638
293668304,286429559,149.735
294055245,990023273,13.85
294055245,653111588,151.86100000000002
294055246,296294071,59.090999999999994
294055246,294055245,142.79500000000002
294055247,988470344,247.911
294055247,984409322,57.84
294056077,1177377818,119.301
294056077,1282179064,115.653
294056077,3311906879,221.207
294056112,316915088,920.9260000000003
294056112,5008490851,888.0660000000001
294056112,3311906879,24.756
294056151,294056355,145.633
294056151,294056230,227.913
294056151,293572771,736.0060000000001
294056228,4858590457,21.427
294056228,4858590456,17.713
294056230,316914949,102.918
294056230,9125588963,480.13
294056230,294056151,227.913
294056355,294056508,50.928999999999995
294056355,294056151,145.633
294056508,294056355,50.929
294056508,3311906863,30.072000000000003
294056511,294056508,18.571
294056511,294056355,58.234
295821679,1004684357,275.519
295821679,296294277,566.9219999999999
295823782,1653118793,153.239
295823797,440974321,155.45399999999998
295823841,1654580612,475.32500000000005
295823841,316735143,143.023
295823846,295823782,1001.713
295824117,1653118463,249.86399999999998
295824117,295823797,414.04200000000003
295884280,295884684,409.48699999999997
295884684,295884715,365.123
295884684,281676469,560.1619999999999
295884715,297912070,54.397
295884715,296294277,131.203
295884756,295884715,10.7
295884756,7235049595,376.335
295886864,990023267,12.327
295886864,318300057,62.586
295887702,290071881,39.544000000000004
295887702,290327355,113.71600000000001
295888215,1623824754,514.2919999999999
295888215,1623824850,275.299
295888215,523778989,273.993
296285357,496053662,18.204
296285357,296285359,32.515
296285357,8758935160,57.74700000000001
296285359,345538779,133.62900000000002
296285359,8758935160,50.81300000000001
296285429,1051895088,29.378
296285429,1051894750,20.863
296285606,5021027300,152.229
296285606,3311241016,13.241
296285606,3311241014,35.973
296285632,256016471,60.516000000000005
296285636,1051894365,23.451999999999998
